town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
東町4丁目,2009,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町4丁目,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町4丁目,2020,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
桜木6丁目,2015,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
桜木6丁目,2015,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
桜町,2020,commercial,increase,1.0,159.0,1,1,,,,"(1, 1.0, 159.0, -9223372036854775807)"
桜町,2020,housing,increase,1.0,159.0,1,1,,,,"(1, 1.0, 159.0, -9223372036854775807)"
桜町,2020,transit,increase,1.0,159.0,0,1,,,,"(1, 1.0, 159.0, -9223372036854775807)"
楠1丁目,2000,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
楠2丁目,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
楠3丁目,2000,housing,increase,1.0,5.0,1,1,,,,"(1, 1.0, 5.0, -9223372036854775807)"
武蔵ケ丘9丁目,2007,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
武蔵ケ丘9丁目,2007,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
武蔵ケ丘9丁目,2007,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
武蔵ケ丘9丁目,2007,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
段山本町,2023,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
水前寺6丁目,2022,transit,decrease,1.0,1.0,1,0,https://www.kumamoto-park.jp/,水前寺江津湖公園公式,2022-10-28,"(1, 1.0, 1.0, -1666915200000000000)"
水前寺公園,1999,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
水前寺公園,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
水前寺公園,2022,transit,decrease,1.0,1.0,1,0,https://www.kumamoto-park.jp/,水前寺江津湖公園公式,2022-10-28,"(1, 1.0, 1.0, -1666915200000000000)"
水道町,2004,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
水道町,2004,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
江津1丁目,2005,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
江津2丁目,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
江津2丁目,2008,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
江津2丁目,2013,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
池上町,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
河原町,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
