町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
新南部４丁目,340,191,149,7,17,10,13,21,19,18,27,26,18,25,13,26,38,23,11,10,8,6,4,0
新南部５丁目,1057,491,566,24,36,37,47,64,41,37,48,64,67,110,95,99,75,98,40,23,28,13,8,3
新南部６丁目,217,115,102,7,8,5,11,16,12,9,15,22,17,16,11,14,17,10,12,4,8,3,0,0
新外１丁目,452,205,247,17,22,21,30,28,33,24,49,36,28,27,26,22,31,18,19,11,7,2,1,0
新外２丁目,370,176,194,14,13,14,18,28,16,22,18,19,29,19,27,31,29,25,16,15,9,5,2,1
新外３丁目,1067,505,562,44,45,47,62,41,76,64,73,76,97,67,84,59,63,64,46,24,20,12,3,0
新外４丁目,464,230,234,22,18,18,25,39,32,30,35,28,31,38,25,22,27,26,19,18,8,2,1,0
新町１丁目,1770,737,1033,60,48,61,67,105,112,78,94,111,133,137,139,124,134,137,76,55,56,32,7,4
新町２丁目,970,438,532,52,24,25,21,66,94,76,68,82,63,66,52,55,57,48,39,36,29,14,3,0
新町３丁目,1821,822,999,74,56,66,66,146,192,126,123,112,134,114,109,125,81,110,68,56,42,15,3,3
新町４丁目,1601,714,887,62,55,45,59,148,132,126,124,102,127,98,90,74,85,98,57,51,37,19,12,0
新港１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
