町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
新南部６丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新外１丁目,444.0,217.0,227.0,29.0,19.0,16.0,27.0,35.0,42.0,47.0,34.0,32.0,24.0,27.0,25.0,26.0,16.0,19.0,16.0,4.0,6.0,0.0,0.0,0.0
新外２丁目,344.0,176.0,168.0,13.0,14.0,14.0,21.0,34.0,17.0,20.0,20.0,19.0,33.0,22.0,39.0,16.0,18.0,18.0,11.0,7.0,4.0,4.0,0.0,0.0
新外３丁目,1105.0,523.0,582.0,63.0,40.0,60.0,68.0,78.0,91.0,89.0,86.0,83.0,71.0,84.0,74.0,57.0,46.0,39.0,39.0,21.0,13.0,3.0,0.0,0.0
新外４丁目,505.0,240.0,265.0,19.0,28.0,33.0,29.0,28.0,29.0,26.0,45.0,34.0,33.0,43.0,38.0,29.0,31.0,25.0,12.0,11.0,7.0,3.0,1.0,1.0
新町１丁目,1433.0,609.0,824.0,56.0,63.0,59.0,68.0,102.0,108.0,100.0,112.0,97.0,105.0,107.0,149.0,83.0,55.0,59.0,49.0,37.0,14.0,8.0,2.0,0.0
新町２丁目,836.0,374.0,462.0,28.0,37.0,29.0,24.0,50.0,75.0,69.0,84.0,55.0,45.0,48.0,61.0,46.0,45.0,49.0,33.0,25.0,20.0,10.0,3.0,0.0
新町３丁目,1597.0,698.0,899.0,70.0,97.0,76.0,85.0,87.0,90.0,130.0,134.0,127.0,112.0,82.0,124.0,93.0,78.0,78.0,58.0,35.0,26.0,11.0,4.0,0.0
新町４丁目,1483.0,666.0,817.0,56.0,53.0,44.0,46.0,151.0,152.0,147.0,98.0,85.0,84.0,96.0,123.0,62.0,68.0,67.0,63.0,47.0,26.0,7.0,8.0,0.0
新屋敷１丁目,1586.0,686.0,900.0,79.0,116.0,89.0,83.0,88.0,96.0,119.0,168.0,165.0,129.0,101.0,76.0,50.0,50.0,56.0,47.0,41.0,23.0,8.0,2.0,0.0
新屋敷２丁目,1379.0,634.0,745.0,42.0,43.0,60.0,90.0,139.0,122.0,89.0,71.0,82.0,101.0,82.0,104.0,58.0,68.0,69.0,62.0,47.0,31.0,13.0,4.0,2.0
新屋敷３丁目,598.0,270.0,328.0,12.0,13.0,24.0,23.0,56.0,61.0,37.0,38.0,25.0,26.0,35.0,60.0,35.0,34.0,41.0,35.0,18.0,15.0,7.0,1.0,2.0
水源１丁目,807.0,355.0,452.0,27.0,30.0,33.0,33.0,38.0,44.0,33.0,35.0,40.0,42.0,51.0,77.0,60.0,67.0,68.0,46.0,45.0,28.0,7.0,3.0,0.0
